"Name","Live Bytes","Live Objects"
"byte[]","5 897 192 B (32,3 %)","63 744 (21,8 %)"
"Ljdk.internal.vm.FillerArray;","3 838 688 B (21 %)","62 (0 %)"
"java.lang.String","1 332 624 B (7,3 %)","55 526 (19 %)"
"java.util.HashMap$Node","794 560 B (4,4 %)","24 830 (8,5 %)"
"java.lang.Object[]","648 576 B (3,6 %)","16 628 (5,7 %)"
"java.util.HashMap$Node[]","527 352 B (2,9 %)","4 033 (1,4 %)"
"char[]","374 976 B (2,1 %)","6 250 (2,1 %)"
"jdk.internal.org.objectweb.asm.SymbolTable$Entry","308 560 B (1,7 %)","5 510 (1,9 %)"
"java.lang.Class","283 144 B (1,6 %)","2 316 (0,8 %)"
"java.util.ImmutableCollections$ListItr","228 672 B (1,3 %)","7 146 (2,4 %)"
"java.util.ArrayList","226 224 B (1,2 %)","9 426 (3,2 %)"
"java.util.ArrayList$Itr","208 672 B (1,1 %)","6 521 (2,2 %)"
"jdk.internal.org.objectweb.asm.SymbolTable$Entry[]","193 648 B (1,1 %)","259 (0,1 %)"
"java.lang.reflect.Constructor","187 992 B (1 %)","2 611 (0,9 %)"
"java.util.HashMap","183 792 B (1 %)","3 829 (1,3 %)"
"java.util.concurrent.ConcurrentHashMap$Node","147 328 B (0,8 %)","4 604 (1,6 %)"
"java.util.TreeMap$Entry","145 840 B (0,8 %)","3 646 (1,2 %)"
"java.lang.Class[]","131 920 B (0,7 %)","6 081 (2,1 %)"
"java.util.ImmutableCollections$List12","124 920 B (0,7 %)","5 205 (1,8 %)"
"jdk.jfr.internal.jfc.model.Constraint","118 272 B (0,6 %)","4 928 (1,7 %)"
"int[]","109 224 B (0,6 %)","1 576 (0,5 %)"
"long[]","109 088 B (0,6 %)","140 (0 %)"
"java.lang.String[]","99 312 B (0,5 %)","2 277 (0,8 %)"
"java.lang.ref.WeakReference","94 304 B (0,5 %)","2 947 (1 %)"
"java.lang.invoke.MemberName","90 672 B (0,5 %)","1 889 (0,6 %)"
"java.lang.reflect.Method","88 880 B (0,5 %)","1 010 (0,3 %)"
"java.util.LinkedHashMap$Entry","79 200 B (0,4 %)","1 980 (0,7 %)"
"java.lang.invoke.MethodType","77 920 B (0,4 %)","1 948 (0,7 %)"
"jdk.internal.org.objectweb.asm.MethodWriter","68 320 B (0,4 %)","305 (0,1 %)"
"java.lang.StringBuilder","62 256 B (0,3 %)","2 594 (0,9 %)"
"jdk.jfr.internal.jfc.model.XmlSetting","52 160 B (0,3 %)","1 304 (0,4 %)"
"java.util.concurrent.ConcurrentHashMap$Node[]","51 776 B (0,3 %)","120 (0 %)"
"java.util.TreeMap","46 032 B (0,3 %)","959 (0,3 %)"
"jdk.internal.org.objectweb.asm.Label","32 648 B (0,2 %)","583 (0,2 %)"
"jdk.jfr.internal.jfc.model.XmlEvent","28 000 B (0,2 %)","700 (0,2 %)"
"jdk.internal.org.objectweb.asm.ClassWriter","27 056 B (0,1 %)","178 (0,1 %)"
"java.lang.invoke.LambdaForm$Name[]","26 064 B (0,1 %)","541 (0,2 %)"
"java.util.ImmutableCollections$SetN$SetNIterator","24 816 B (0,1 %)","1 034 (0,4 %)"
"java.lang.Integer","24 240 B (0,1 %)","1 515 (0,5 %)"
